rawdata/th100	0	0.05	0	0000	0000
rawdata/th100	1	0.05	0	0000	0000
rawdata/th100	0	0.05	1	0000	0000
rawdata/th100	1	0.05	1	0000	0000
rawdata/th100	0	0.05	2	0000	0000
rawdata/th100	1	0.05	2	0000	0000
rawdata/th100	0	0.05	3	0000	0000
rawdata/th100	1	0.05	3	0000	0000
rawdata/th100	0	0.1	0	0000	0000
rawdata/th100	1	0.1	0	0000	0000
rawdata/th100	0	0.1	1	0000	0000
rawdata/th100	1	0.1	1	0000	0000
rawdata/th100	0	0.1	2	0000	0000
rawdata/th100	1	0.1	2	0000	0000
rawdata/th100	0	0.1	3	0000	0000
rawdata/th100	1	0.1	3	0000	0000
rawdata/th100	0	0.15	0	0000	0000
rawdata/th100	1	0.15	0	0000	0000
rawdata/th100	0	0.15	1	0000	0000
rawdata/th100	1	0.15	1	0000	0000
rawdata/th100	0	0.15	2	0000	0000
rawdata/th100	1	0.15	2	0000	0000
rawdata/th100	0	0.15	3	0000	0000
rawdata/th100	1	0.15	3	0000	0000
rawdata/th100	0	0.2	0	0000	0000
rawdata/th100	1	0.2	0	0000	0000
rawdata/th100	0	0.2	1	0000	0000
rawdata/th100	1	0.2	1	0000	0000
rawdata/th100	0	0.2	2	0000	0000
rawdata/th100	1	0.2	2	0000	0000
rawdata/th100	0	0.2	3	0000	0000
rawdata/th100	1	0.2	3	0000	0000
rawdata/th100	0	0.25	0	0000	0000
rawdata/th100	1	0.25	0	0000	0000
rawdata/th100	0	0.25	1	0000	0000
rawdata/th100	1	0.25	1	0000	0000
rawdata/th100	0	0.25	2	0000	0000
rawdata/th100	1	0.25	2	0000	0000
rawdata/th100	0	0.25	3	0000	0000
rawdata/th100	1	0.25	3	0000	0000
rawdata/th100	0	0.3	0	0000	0000
rawdata/th100	1	0.3	0	0000	0000
rawdata/th100	0	0.3	1	0000	0000
rawdata/th100	1	0.3	1	0000	0000
rawdata/th100	0	0.3	2	0000	0000
rawdata/th100	1	0.3	2	0000	0000
rawdata/th100	0	0.3	3	0000	0000
rawdata/th100	1	0.3	3	0000	0000
rawdata/th100	0	0.35	0	0000	0000
rawdata/th100	1	0.35	0	0000	0000
rawdata/th100	0	0.35	1	0000	0000
rawdata/th100	1	0.35	1	0000	0000
rawdata/th100	0	0.35	2	0000	0000
rawdata/th100	1	0.35	2	0000	0000
rawdata/th100	0	0.35	3	0000	0000
rawdata/th100	1	0.35	3	0000	0000
rawdata/th100	0	0.4	0	0000	0000
rawdata/th100	1	0.4	0	0000	0000
rawdata/th100	0	0.4	1	0000	0000
rawdata/th100	1	0.4	1	0000	0000
rawdata/th100	0	0.4	2	0000	0000
rawdata/th100	1	0.4	2	0000	0000
rawdata/th100	0	0.4	3	0000	0000
rawdata/th100	1	0.4	3	0000	0000
